@RELATION polyps

@ATTRIBUTE FILE_ID NUMERIC
@ATTRIBUTE C1ENERGYMEAN REAL
@ATTRIBUTE C1ENERGYVARIANCE REAL
@ATTRIBUTE C2ENERGYMEAN REAL
@ATTRIBUTE C2ENERGYVARIANCE REAL
@ATTRIBUTE C3ENERGYMEAN REAL
@ATTRIBUTE C3ENERGYVARIANCE REAL
@ATTRIBUTE C1ENTROPYMEAN REAL
@ATTRIBUTE C1ENTROPYVARIANCE REAL
@ATTRIBUTE C2ENTROPYMEAN REAL
@ATTRIBUTE C2ENTROPYVARIANCE REAL
@ATTRIBUTE C3ENTROPYMEAN REAL
@ATTRIBUTE C3ENTROPYVARIANCE REAL
@ATTRIBUTE C1CORRELATIONMEAN REAL
@ATTRIBUTE C1CORRELATIONVARIANCE REAL
@ATTRIBUTE C2CORRELATIONMEAN REAL
@ATTRIBUTE C2CORRELATIONVARIANCE REAL
@ATTRIBUTE C3CORRELATIONMEAN REAL
@ATTRIBUTE C3CORRELATIONVARIANCE REAL
@ATTRIBUTE C1DIFFERENCEMOMENTMEAN REAL
@ATTRIBUTE C1DIFFERENCEMOMENTVARIANCE REAL
@ATTRIBUTE C2DIFFERENCEMOMENTMEAN REAL
@ATTRIBUTE C2DIFFERENCEMOMENTVARIANCE REAL
@ATTRIBUTE C3DIFFERENCEMOMENTMEAN REAL
@ATTRIBUTE C3DIFFERENCEMOMENTVARIANCE REAL
@ATTRIBUTE C1INERTIAMEAN REAL
@ATTRIBUTE C1INERTIAVARIANCE REAL
@ATTRIBUTE C2INERTIAMEAN REAL
@ATTRIBUTE C2INERTIAVARIANCE REAL
@ATTRIBUTE C3INERTIAMEAN REAL
@ATTRIBUTE C3INERTIAVARIANCE REAL
@ATTRIBUTE C1CLUSTERSHADEMEAN REAL
@ATTRIBUTE C1CLUSTERSHADEVARIANCE REAL
@ATTRIBUTE C2CLUSTERSHADEMEAN REAL
@ATTRIBUTE C2CLUSTERSHADEVARIANCE REAL
@ATTRIBUTE C3CLUSTERSHADEMEAN REAL
@ATTRIBUTE C3CLUSTERSHADEVARIANCE REAL
@ATTRIBUTE C1CLUSTERPROMINENCEMEAN REAL
@ATTRIBUTE C1CLUSTERPROMINENCEVARIANCE REAL
@ATTRIBUTE C2CLUSTERPROMINENCEMEAN REAL
@ATTRIBUTE C2CLUSTERPROMINENCEVARIANCE REAL
@ATTRIBUTE C3CLUSTERPROMINENCEMEAN REAL
@ATTRIBUTE C3CLUSTERPROMINENCEVARIANCE REAL
@ATTRIBUTE C1HARALICKCORRELATIONMEAN REAL
@ATTRIBUTE C1HARALICKCORRELATIONVARIANCE REAL
@ATTRIBUTE C2HARALICKCORRELATIONMEAN REAL
@ATTRIBUTE C2HARALICKCORRELATIONVARIANCE REAL
@ATTRIBUTE C3HARALICKCORRELATIONMEAN REAL
@ATTRIBUTE C3HARALICKCORRELATIONVARIANCE REAL
@ATTRIBUTE CLASS {0,1}

@DATA
11,0.03207,0.00000,0.03164,0.00000,0.03586,0.00000,5.45616,0.00095,5.35318,0.00015,5.30512,0.00010,-0.00134,0.00011,-0.00124,0.00011,0.00012,0.00009,0.39855,0.00096,0.40786,0.00128,0.41978,0.00103,55.41000,205.73576,55.70741,206.00340,59.79577,259.36747,1675.08693,1507900.17301,1647.95416,1376553.02931,3902.10971,13860413.47703,394290.04364,91862452474.66719,388329.77745,84278949519.25650,838380.12787,804718005666.46423,19884304.20211,1309751761.95802,20484299.36761,1402026212.54407,20066706.77102,1857265962.59203,1
12,0.02150,0.00000,0.02646,0.00001,0.04222,0.00002,6.06156,0.01130,5.77612,0.01488,5.19923,0.01863,-0.01391,0.00056,-0.01417,0.00066,-0.00919,0.00196,0.32515,0.00173,0.34656,0.00184,0.41318,0.00198,42.09930,167.67407,39.00727,146.21238,17.00974,28.84739,574.74218,333989.86556,780.87287,651571.84836,1332.42710,2135666.47091,79211.91780,7169661209.49107,107525.23219,15974860711.24881,201047.16128,73979016826.88295,33678370.09919,1257304015.41922,30290771.96781,1107983973.32321,23012456.22089,573653954.85115,1
13,0.04080,0.00000,0.04995,0.00000,0.05115,0.00000,5.24607,0.00083,4.98124,0.00049,5.00140,0.00043,-0.00278,0.00022,-0.00298,0.00026,-0.00323,0.00023,0.43931,0.00106,0.47306,0.00111,0.47547,0.00099,37.58392,90.58835,35.36876,80.72797,37.66453,91.95665,566.05804,1660.21286,502.94430,1658.01376,522.61404,1425.18624,292944.46814,22174975275.65127,264773.45014,18452836557.85219,286982.98432,21484125666.54068,16952859.56431,13763446.99229,15493640.14897,11220200.03350,15414107.29331,15033503.51145,1
14,0.02818,0.00000,0.03699,0.00000,0.03534,0.00000,5.83504,0.00438,5.58884,0.00382,5.62773,0.00508,-0.00296,0.00035,-0.00163,0.00026,0.00074,0.00014,0.37001,0.00323,0.41019,0.00426,0.40326,0.00407,52.10276,466.85634,58.13206,575.28098,64.64297,616.45391,1796.45521,1300193.24222,2823.74595,3996890.46862,6460.44364,18873651.89310,230886.19260,32044341795.74811,390152.46372,103224908832.76384,999378.08756,689918350001.92700,25386369.91005,3969500124.42336,22124674.31843,3600409992.73979,23798703.32346,5224604828.79803,1
15,0.03299,0.00000,0.03491,0.00000,0.04068,0.00000,5.48792,0.00124,5.33629,0.00074,5.25193,0.00107,0.00037,0.00017,0.00166,0.00016,0.00327,0.00010,0.39641,0.00103,0.41358,0.00135,0.43073,0.00130,43.75698,131.76936,44.64695,143.77813,52.57942,225.68201,1929.73439,951239.60698,2774.35086,2402164.99724,6908.48584,18731155.18434,345450.32345,43003997260.11230,454926.00180,87563491896.86121,1140725.92648,743340531517.27478,20851622.37906,2375991966.10183,20881154.49791,2661055334.86054,18238261.28266,3136599403.13690,1
16,0.02859,0.00000,0.03350,0.00000,0.04221,0.00000,5.74096,0.00038,5.56241,0.00067,5.16106,0.00150,-0.01450,0.00055,-0.01346,0.00043,-0.01326,0.00117,0.36238,0.00162,0.38450,0.00171,0.42851,0.00221,40.83424,146.86418,46.55765,192.56942,23.54450,46.64034,573.10703,261438.49299,547.14967,187305.59030,765.27660,610543.78433,78831.29472,7122753671.79913,86257.22438,6628711289.21025,105319.68978,17412931635.20390,29053163.68652,1225907152.90511,27675328.50838,1055800140.48582,22111065.56936,607472721.11046,1
17,0.05724,0.00001,0.07736,0.00000,0.08782,0.00000,4.62062,0.00484,4.27719,0.00452,4.22885,0.00374,0.00276,0.00216,0.00578,0.00142,0.00712,0.00060,0.47640,0.00227,0.52945,0.00186,0.54385,0.00175,11.96323,17.36738,13.39043,25.30509,17.76932,60.41364,1195.75038,1660889.03624,1900.12437,4273945.00130,3922.90247,18503902.28125,145618.17894,37557952054.93180,255949.55521,118707613116.34416,633250.90198,741408404069.10889,18950803.34025,1216258289.62001,16382264.22660,1055202000.41376,15189420.38249,1250240734.22962,1
18,0.01385,0.00000,0.01736,0.00000,0.01734,0.00000,7.04893,0.00604,6.75645,0.00602,6.86817,0.00736,-0.00527,0.00005,-0.00696,0.00009,-0.00696,0.00009,0.24577,0.00270,0.28497,0.00313,0.28591,0.00334,124.75357,1199.94202,95.37944,729.82343,90.76862,636.84833,285.85291,10615.18351,212.96952,4127.86181,188.39993,3921.39190,146416.29691,16606848010.21681,119975.49325,11722803689.87095,101957.45661,8712945880.84411,49170880.34949,2274234166.10346,44012875.12826,1276195234.76337,45410168.85970,994312434.20422,1
19,0.01315,0.00000,0.01862,0.00000,0.01963,0.00001,6.53319,0.01526,6.14894,0.01904,6.17671,0.02006,-0.00402,0.00010,-0.00414,0.00016,-0.00084,0.00014,0.27127,0.00120,0.30813,0.00115,0.31318,0.00118,88.95693,801.70799,67.78169,451.07571,60.18306,325.93951,917.52449,756165.94690,1251.46951,1463312.74079,3386.32080,11678096.99410,285167.02686,40852774138.31592,248162.55243,39385645120.16385,543323.28604,369747145106.56244,42136566.52244,10850728937.98514,34936995.38812,7625128856.96327,33638931.59309,9218781558.85283,1
20,0.04704,0.00002,0.06488,0.00003,0.05791,0.00003,5.03795,0.01398,4.63657,0.01351,4.81549,0.01860,-0.02551,0.00187,-0.02993,0.00298,-0.00846,0.00226,0.43344,0.00174,0.47810,0.00157,0.46179,0.00175,23.25976,50.56007,18.29130,31.73727,15.31849,24.38552,314.16678,99257.16677,329.34892,114769.91176,1352.10861,2208508.65866,42173.27036,2236746677.97702,41928.03223,2584407117.99865,200986.22905,74110703908.62813,22232601.70878,351829577.71914,18633191.18366,231759001.86197,19262770.10661,372451068.33403,1
21,0.02978,0.00002,0.04391,0.00002,0.03457,0.00002,5.62829,0.03024,5.17495,0.02779,5.51428,0.03750,-0.00341,0.00063,-0.00151,0.00072,0.00427,0.00017,0.36134,0.00234,0.41562,0.00190,0.38033,0.00216,30.87621,95.93459,27.52470,76.88709,42.48649,185.50704,1776.21243,1610894.01006,1897.19110,1711194.61416,7943.88770,25299341.33818,206184.57436,39221943044.80023,217064.92373,39348180439.47517,1274317.64527,1002931480330.15810,28225273.89874,3667777059.48309,23063523.82566,2382778242.24704,26406546.31839,5098174356.41056,1
22,0.01457,0.00000,0.02241,0.00001,0.02595,0.00001,6.43963,0.01561,5.94694,0.01848,5.77707,0.01542,-0.00412,0.00008,-0.00521,0.00015,-0.00193,0.00023,0.27712,0.00130,0.32717,0.00124,0.34941,0.00151,94.16387,776.02570,69.40284,429.22775,45.60993,200.46416,1106.40300,1101429.69692,1273.65331,1622352.21065,3536.56227,15015050.58757,281048.69181,41628032365.67709,223689.95709,40490364041.10123,620609.64395,651722239283.68250,37938139.19241,5326569898.55055,30544308.12587,2783850207.17503,29274848.51474,2860221258.12103,1
23,0.01090,0.00000,0.01211,0.00000,0.01599,0.00000,7.15968,0.00277,7.06850,0.00390,6.46399,0.00921,-0.00590,0.00014,-0.00585,0.00014,-0.00358,0.00038,0.23369,0.00182,0.23770,0.00174,0.28724,0.00225,79.50397,633.26099,77.41321,602.32001,37.53324,178.25627,1388.99743,2455248.32803,1852.09808,4260612.24215,3639.79242,16373129.86483,320882.76943,131991510641.30618,403809.55835,223783838892.56207,670450.91674,826067142889.65051,55074649.75845,8593079937.00413,51252890.34303,7607214141.73071,40020404.42024,4404895870.91280,1
24,0.01098,0.00000,0.01167,0.00000,0.02227,0.00000,6.92856,0.00153,6.81569,0.00143,6.11491,0.01127,-0.00313,0.00002,-0.00297,0.00002,-0.00448,0.00017,0.23785,0.00175,0.24415,0.00188,0.32873,0.00192,210.88882,4382.28517,210.64216,4394.81383,66.54866,504.52782,3810.31155,15359801.05999,5447.70262,32250989.72204,4776.98538,27791917.16214,1131826.04975,1542393150907.81450,1499690.56760,2970008203663.26610,946406.41173,1618942265060.07320,52960626.29509,28769846629.92169,54005528.18907,29091687578.60600,35352185.51077,5081992031.70928,1
25,0.05598,0.00004,0.08044,0.00006,0.10100,0.00004,4.67911,0.02625,4.28882,0.02309,4.19400,0.01300,0.00328,0.00090,0.00639,0.00045,0.00637,0.00011,0.44749,0.00279,0.50571,0.00247,0.54662,0.00165,21.48547,45.27718,26.26629,69.53700,41.95551,184.13723,2476.85646,3445762.99858,3809.15799,6450009.65222,9769.86888,39193820.15972,388266.36675,147227875820.26639,555074.32373,223242846111.40472,1535930.41866,1498529620954.69950,14393174.65757,1421877511.64418,10981593.88989,1269032036.15070,10047383.37573,1821925026.79076,1
26,0.02203,0.00000,0.02810,0.00000,0.02822,0.00000,6.25628,0.01098,6.04334,0.00809,5.99388,0.00607,0.00142,0.00024,0.00180,0.00024,0.00202,0.00021,0.34760,0.00538,0.38005,0.00705,0.37255,0.00813,48.96333,333.33677,48.77703,348.50512,50.20077,372.28460,3864.55537,13401834.28068,4093.23328,13328994.09791,4524.75971,14021208.96805,623415.73942,549263852057.07855,652983.99657,551403663019.72534,714599.53220,583407507187.42542,35930208.98939,7631711662.53636,32394957.03118,6395213838.97250,32121196.74998,6497201508.17626,0
27,0.00843,0.00000,0.01011,0.00001,0.00882,0.00000,7.49701,0.04463,7.35196,0.08103,7.48170,0.06532,-0.00050,0.00009,-0.00051,0.00008,-0.00052,0.00007,0.26716,0.02179,0.28874,0.02938,0.27710,0.02704,114.66025,3149.91257,118.98447,3479.01371,134.04962,4474.08976,3842.20908,12658333.48725,3963.49148,13397686.82717,4391.61526,15305852.64616,660303.14051,475903242358.38330,678216.74574,485652731784.99231,771827.14963,571055052164.81799,61140135.30533,36162118585.12366,57812941.43292,33838137112.35036,61810446.31005,44965947531.47676,0
28,0.02391,0.00001,0.02656,0.00002,0.02601,0.00001,5.90527,0.02639,5.76008,0.03101,5.84399,0.02931,-0.01233,0.00068,-0.00721,0.00053,0.00001,0.00031,0.32887,0.00256,0.33967,0.00274,0.34071,0.00275,38.91781,173.55968,39.92775,187.71298,41.29338,192.19343,1763.68785,2722995.98108,2755.42088,5081396.31251,5820.47939,14357499.49027,348293.16461,167007043661.62469,515250.10044,308866789056.07074,1130334.02986,847644348531.35132,31938725.91264,1562939844.82400,30653045.62049,1897298087.81171,30955918.59916,2523601765.46108,0
29,0.02753,0.00002,0.02992,0.00003,0.02667,0.00001,5.78380,0.02588,5.71294,0.03288,5.80109,0.02311,-0.01108,0.00057,-0.00661,0.00039,-0.00165,0.00024,0.34217,0.00242,0.34988,0.00228,0.34064,0.00313,43.24845,223.74374,48.44569,287.29475,50.81873,311.88701,1430.58103,1127125.67435,2718.25889,3650588.57624,5593.13854,14179990.30391,260352.13901,60683278835.97592,476326.34726,182023343267.93860,1032258.88999,756088409591.03882,27445690.58498,1381657922.28187,26716344.19928,1848605991.73388,27593182.04130,2647692498.23150,0
30,0.05891,0.00000,0.07316,0.00000,0.06844,0.00000,4.84665,0.00476,4.53129,0.00811,4.58150,0.00645,0.01165,0.00035,0.01210,0.00031,0.01175,0.00027,0.48017,0.00327,0.51452,0.00254,0.50571,0.00286,23.18319,53.21911,23.40064,56.28374,24.58773,61.96347,5061.93152,11332443.78481,5614.62280,14429365.96444,6158.99834,17090085.53676,733157.95196,409919004299.88312,834362.03444,559335513532.00745,936715.25357,686526965949.03491,19464680.07175,1789595362.93616,17378703.89528,1462730423.44921,17938582.75684,1617535330.65353,0
31,0.03818,0.00001,0.06876,0.00002,0.05679,0.00001,5.33307,0.02594,4.67994,0.02009,4.89420,0.01553,0.00509,0.00058,0.00882,0.00050,0.00893,0.00042,0.40611,0.00313,0.49551,0.00200,0.47070,0.00225,21.27299,73.02489,19.92610,66.92239,21.66669,72.50298,3709.92807,14700258.75155,4189.78352,17536415.31839,4608.02386,19317325.26543,567306.37326,568301095296.63452,646510.99006,705890736129.34985,713529.52782,797979041067.62683,24715024.78666,2979430895.64289,18230551.71974,1655386996.91881,20195793.91884,2103083620.77145,0
32,0.03239,0.00001,0.04090,0.00001,0.03389,0.00000,5.74135,0.02743,5.36736,0.02327,5.56730,0.01808,0.00225,0.00039,0.00345,0.00045,0.00368,0.00041,0.37841,0.00212,0.42187,0.00217,0.40060,0.00242,30.21455,120.78150,27.10611,95.94092,28.16876,96.71740,4536.86955,17973886.62238,4180.63183,14841869.06304,4185.30347,13907852.02951,724477.21476,785586576999.15210,652951.74342,628527137959.97791,643774.35475,583295157144.31592,27144828.23768,4084102659.01870,24404129.54560,3053600840.41217,26669005.75696,3630493641.30765,0
33,0.01404,0.00000,0.01715,0.00001,0.01639,0.00001,6.82449,0.00639,6.65359,0.01209,6.67963,0.01183,-0.00046,0.00008,-0.00038,0.00008,-0.00032,0.00007,0.30787,0.01475,0.33195,0.01899,0.32931,0.01894,118.66372,3279.85263,119.24460,3314.87100,120.99113,3397.10047,4424.85968,21916480.34920,4725.74225,24457657.30745,4999.35585,25721692.17793,937247.85806,970583004046.16785,994116.87099,1100898032461.82670,1031024.13265,1159332277426.43800,50633767.93991,21156156392.21892,48404780.41929,19515070368.72863,49138259.35678,21641555362.97723,0
34,0.03959,0.00000,0.04895,0.00001,0.05148,0.00000,5.36834,0.00667,5.13649,0.00811,5.03137,0.00533,0.00613,0.00045,0.00665,0.00039,0.00760,0.00032,0.42761,0.00386,0.45498,0.00417,0.46616,0.00465,25.71495,67.99502,26.82201,74.98670,27.99373,81.97152,3562.44406,12229141.93125,4174.92018,15897632.41421,4884.92660,18609028.94301,527063.55238,455313988206.46570,639984.54503,644996231254.76270,750654.27460,779383846901.43213,24741644.63927,2945321858.50804,22587741.25302,2566584548.67795,21793265.33357,2521224881.96207,0
35,0.01145,0.00000,0.01386,0.00000,0.01326,0.00000,6.95949,0.00166,6.83861,0.00057,6.84571,0.00072,-0.00189,0.00003,-0.00186,0.00004,-0.00163,0.00004,0.27225,0.00073,0.29282,0.00081,0.29202,0.00083,103.90892,688.47072,99.49169,632.60856,95.43284,554.16079,733.84612,17307.29899,698.24219,14153.19051,583.93899,10386.40165,485562.14158,49757792594.00143,463747.85889,44762368380.86112,462628.54208,42416569646.53185,39645628.96269,566631941.65372,35944128.72680,407995702.46911,36453705.62635,355855424.25518,0
36,0.01517,0.00000,0.01884,0.00000,0.02081,0.00000,6.47384,0.00076,6.23194,0.00021,6.23736,0.00014,0.00107,0.00010,0.00204,0.00009,0.00255,0.00005,0.30706,0.00085,0.33988,0.00095,0.35075,0.00080,54.84953,192.78830,54.34865,196.40773,70.90698,372.62794,3321.91185,3202867.42465,4463.10466,6463445.40288,10822.75160,43433334.68718,590250.46803,158855683749.91287,781866.63500,302030119451.78711,2114993.28733,2548990411074.70210,30899856.80238,5651174755.80505,27859649.57689,5291027349.63605,28903097.93581,8381422717.48103,0
37,0.03624,0.00000,0.03920,0.00000,0.03765,0.00000,5.36651,0.00309,5.13432,0.00064,5.20512,0.00063,0.00295,0.00019,0.00339,0.00020,0.00371,0.00009,0.40931,0.00098,0.43707,0.00133,0.43356,0.00119,39.40962,117.40958,37.62104,104.91472,52.17786,228.74460,4172.78056,7725605.83811,3887.41373,6708691.25808,9030.79396,31522441.31849,761672.48240,422572285126.07983,705152.99209,366485129675.46838,1691310.13814,1689070888249.53000,21431200.56285,2372292108.67189,20385618.93579,2124499834.83343,21429545.85658,3907506294.82079,0
38,0.03242,0.00000,0.03317,0.00000,0.04248,0.00000,5.48526,0.00385,5.39459,0.00203,5.23894,0.00155,-0.00177,0.00025,-0.00177,0.00025,-0.00030,0.00021,0.40093,0.00158,0.41185,0.00167,0.43696,0.00133,38.64679,103.06346,38.67227,105.00442,40.49972,115.71011,929.23669,491138.21122,842.43323,347388.86601,1643.87622,2170989.09155,310470.01703,27866560697.87960,311446.07746,23811113428.60743,420020.38244,89256423002.05399,22458982.46004,1016803484.17884,21491651.71706,914293515.74781,18862564.39323,926246952.12581,0
39,0.04040,0.00000,0.04539,0.00000,0.04576,0.00000,5.17678,0.00327,4.98406,0.00126,5.00022,0.00155,-0.00161,0.00034,-0.00169,0.00035,-0.00005,0.00030,0.43010,0.00122,0.45369,0.00136,0.45250,0.00129,32.30082,76.84511,32.01254,74.95924,33.76201,87.65020,908.99387,321642.21857,816.55393,202336.23793,1392.57406,1194339.03887,235967.29580,29044853394.60539,229026.17485,24336698528.50049,307438.66958,66837892680.31027,21869454.94833,780681509.15200,19998381.98462,669858048.15815,20771782.20321,883932444.82168,0
